MFL_Code,Facility_Id,Facility_Name,County,SubCounty
13705,FID-43-118150-3,Kitare Health Centre,Homa Bay,Mbita
14150,FID-43-118078-6,Tom Mboya Memorial Level 4 Hospital,Homa Bay,Mbita
