MFL_Code,Facility_Name,County,SubCounty,Owner,Latitude,Longitude
12591,Muthara Sub-District Hospital,Meru,Tigania East,Ministry of Health,0.2276,37.7975
20552,DR. B.K.Kariuki,Nakuru,Nakuru East,Private Practice - Medical Specialist,None,None
16076,Nasusi Dispensary,Bungoma,Kimilili,Ministry of Health,0.819819,34.7451
19515,Afya Bora Health Care,Nairobi,Westlands,Non-Governmental Organizations,-1.2674,36.7576
14689,Kanyarkwat Dispensary,West Pokot,West Pokot,Ministry of Health,1.4087,35.0313
14754,Kapsasian Dispensary,Narok,Transmara East,Ministry of Health,-0.918432,35.299013
11784,Shella Dispensary,Lamu,Lamu West,Ministry of Health,-2.2779,40.9492
18320,Ligala Dispensary,Siaya,Ugenya,Ministry of Health,0.2576,34.2506
15977,Lusheya Health Centre,Kakamega,Mumias East,Ministry of Health,0.3045,34.5361
15001,Kunyak Dispensary,Kericho,Kipkelion West,Ministry of Health,-0.1131,35.27
11526,Lungalunga Subcounty Hospital,Kwale,Lunga Lunga,Ministry of Health,-4.5537,39.1206
15168,Megwara Dispensary,Narok,Narok West,Ministry of Health,-1.5159,35.4804
13945,Nyatike Health Centre,Kisii,South Mugirango,Ministry of Health,-0.675747,34.771766
16820,Turi (PCEA) Dispensary,Nakuru,Molo,Christian Health Association of Kenya,-0.283028,36.075022
15968,Lukolis Model Health Centre,Busia,Teso South,Ministry of Health,0.5826,34.2085
18219,St Alice (EDARP) Dandora,Nairobi,Kasarani,Kenya Episcopal Conference-Catholic Secretariat,-1.2478,36.9095
11126,Turasha Dispensary,Nyandarua,Kipipiri,Ministry of Health,-0.199985,36.375003
13843,Ndiru Health Centre,Homa Bay,Rangwe,Ministry of Health,-0.5223,34.5781
10919,Othaya Catholic Dispensary,Nyeri,Nyeri South,Kenya Episcopal Conference-Catholic Secretariat,-0.5505,36.9448
11968,Cheera Health Center,Tharaka-Nithi,Chuka,Kenya Episcopal Conference-Catholic Secretariat,-0.3719,37.6799
15656,St Marys Kalokol PHC,Turkana,Turkana Central,Kenya Episcopal Conference-Catholic Secretariat,3.5354,35.8614
22624,Rafiki Health Centre,Trans Nzoia,Saboti,Ministry of Health,1.0025,34.9957
15932,Khalumuli Dispensary,Bungoma,Webuye West,Other Public Institution,0.578148,34.559255
12566,Mulango (AIC) Health Centre,Kitui,Kitui Central,Christian Health Association of Kenya,-1.4294,38.0109
14083,Sieka Dispensary,Kisii,Kitutu Chache North,Ministry of Health,-0.57337,34.76402
19867,Nyambare Dispensary,Homa Bay,Rangwe,Ministry of Health,-0.56,34.6
18301,Kemri Clinic,Kisumu,Kisumu West,Parastatal,-0.0765,34.6758
13803,Mindhine Dispensary,Siaya,Gem,Ministry of Health,0.0475,34.5338
17548,EDARP Njiru Clinic,Nairobi,Kasarani,Kenya Episcopal Conference-Catholic Secretariat,-1.2518,36.938
11565,Maria Teressa Nuzzo Health Centre,Lamu,Lamu West,Kenya Episcopal Conference-Catholic Secretariat,-2.252222,40.913056
